Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER1,BUZ-SMD_L9.6-W9.6-LS10.0-R,1,YS-SBZ9650DYB05_C409830,C409830
"C1, C2",CP_Elec_4x5.4,2,10u,C3343
"C10, C11, C13, C14, C15, C16, C17, C5, C6, C7, C8, C9",0805,12,0.1u,C138340
"C12, C18, C20",1206,3,1u,C138340
"C3, C4",CP_Elec_4x5.4,2,22u,C3356
"CN1, CN2, CN5",CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,3,WJ2EDGRC-5.08-2P,C3697
CN3,CONN-TH_8P-P5.08_WJ2EDGRC-5.08-8P,1,WJ2EDGRC-5.08-8P,C27587
CN4,CONN-SMD_WAFER-200W-4P,1,WAFER-200W-4P,C2840430
"D1, D6, D7",D_SMA,3,SMAJ26A,C148225
"D2, D4",D_SMA,2,SK310A,C91474
D3,0805,1,Green,C2297
"D5, D9",0805,2,Yellow,C2296
D8,0805,1,Blue,C2293
DC1,DC-IN-TH_DC-044-BXXX,1,DC-044-B200,C720573
F1,F1812,1,MF-MSMF150/24X-2,C78695
L1,IND-SMD_L4.0-W4.0_SMNR4012,1,SWPA4030S3R3MT,C15269
"Q1, Q3, Q4",SOT-23-3,3,BSS138,C431507
"R1, R10, R13, R14, R17, R18, R19, R2, R20, R24, R28, R4, R5",0805,13,10k,C17414
"R11, R12, R23, R31",0603,4,0R,C21189
"R15, R16",0805,2,1k,C17513
"R21, R22, R25, R26",1206,4,30k,C17999
"R3, R7",0805,2,2k,C17604
"R30, R8, R9",0805,3,100R,C17408
R6,0805,1,56.2k,C483186
RELAY1,RELAY-TH_JZC-32F-012-HS3-555,1,JZC-32F/012-HS3(555),C3632
"SW1, SW2",SW-SMD_L6.0-W3.5-LS8.0,2,1TS002B-2300-4301,C318833
U1,RPi_PicoW_SMD_TH,1,PicoW,
U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,TPS563200DDCR,C97253
U3,SW-SMD_8P-L10.3-W6.2-P2.54-LS9.5-BL,1,BX-DS2.54-4PTP,C18078244
U4,SMDIP-4_W9.53mm_Clearance8mm,1,SFH6206-3T,C118295
"U5, U6",HDR-SMD_10P-P2.54-H-F-R2-C5-W8.5,2,HX PM2.54-2X5P WT,C46635850
