Designator,Mid X,Mid Y,Layer,Rotation
BUZZER1,118.5,-105.5,top,0
C1,168.6,-86.2,top,0
C10,161.8,-118.6,top,180
C11,162.4,-68.4,top,270
C12,161.4,-75.2,top,270
C13,166.4,-105.5125,top,90
C14,166.4,-101.5125,top,270
C15,158.6,-75.8,top,270
C16,116.5,-125.9,top,270
C17,159.6,-83.85,top,0
C18,160.2,-86.45,top,0
C2,168.6,-91.2,top,0
C20,160.4,-78.95,top,0
C3,166.2,-69.2,top,270
C4,171.4,-69.2,top,270
C5,166.8,-82.4,top,0
C6,158.6,-99.2,top,270
C7,171.5,-76,top,270
C8,124.05,-90.3,top,0
C9,125.5,-109,top,270
CN1,182.1925,-75.3675,top,90
CN2,108.4,-106.34,top,270
CN3,182.5925,-116.87,top,90
CN4,151.35,-138.8,top,0
CN5,118.7825,-132.8425,top,0
D1,176,-81.6,top,0
D2,175.75,-88.5,top,90
D3,171.7,-95,top,0
D4,159.4,-69,top,90
D5,164.4,-114.6,top,270
D6,168.6,-118.6,top,0
D7,174.2,-101.4,top,270
D8,126.2,-70.4,top,270
D9,123.2,-70.4,top,270
DC1,185.4,-88.45,top,180
F1,176,-76.8,top,180
L1,176.6,-70.5,top,90
Q1,115.15,-114.4,top,0
Q3,170,-102.6,top,270
Q4,170.2,-114.3,top,90
R1,121.0875,-113,top,180
R10,165.8,-110,top,180
R11,159.6,-104.4,top,180
R12,159.625,-102.6,top,180
R13,164,-105.5125,top,270
R14,164,-101.5125,top,90
R15,126.2,-74.4875,top,270
R16,123.2,-74.4875,top,270
R17,151.3875,-129.6,top,180
R18,155.2,-129.6,top,0
R19,135.5,-126.1,top,180
R2,164.2,-79.4,top,90
R20,139.5,-126.1,top,0
R21,106.9625,-138,top,180
R22,102.5,-133.25,top,90
R23,109.225,-97.4,top,0
R24,119.5,-125.9,top,90
R25,107,-135.25,top,180
R26,107,-132,top,180
R28,171.6,-107.2,top,90
R3,175.4,-95,top,180
R30,168.8,-107.2,top,270
R31,113.4,-121.8,top,270
R4,161,-99.2,top,270
R5,120.05,-90.3,top,180
R6,164,-75,top,90
R7,166.9,-114.6,top,90
R8,121,-116,top,180
R9,161.8,-110,top,180
RELAY1,167.5,-130,top,270
SW1,159.8,-92.6,top,90
SW2,121.1,-86.5,top,180
U1,143,-91.27,top,0
U2,168,-76.35,top,270
U3,112,-75.03,top,270
U4,108.75,-126.5,top,0
U5,110.6,-89.2,top,90
U6,137.46,-131.45,top,180
